,rank_2020,company,sales_2020,profits_2020,assets_2020,market_value_2020
699,#700,Bharti Airtel,$12 B,$-3.8 B,$49.2 B,$37.4 B
700,#701,China Energy Engineering,$35.7 B,$733 M,$60.5 B,$3.2 B
701,#702,Nucor,$22.1 B,$785 M,$17.9 B,$12.4 B
702,#703,Sany Heavy Industry,$10.9 B,$1.6 B,$13 B,$23.3 B
703,#704,Ericsson,$23.8 B,$215 M,$29.5 B,$28.9 B
704,#705,Baidu,$15.5 B,$297 M,$43.3 B,$27.6 B
705,#706,Kirin Holdings,$17.8 B,$547 M,$22.2 B,$16.9 B
706,#707,SM Investments,$9.2 B,$861 M,$22.6 B,$20.2 B
707,#708,Telkom Indonesia,$9.4 B,$1.4 B,$15.1 B,$23.3 B
708,#709,Riyad Bank,$3.8 B,$1.5 B,$70.9 B,$13.6 B
709,#710,Legend Holding,$56.3 B,$527 M,$89.6 B,$2.8 B
710,#711,Grupo Aval,$11.1 B,$924 M,$85 B,$6.3 B
711,#712,Ferguson,$22.1 B,$988 M,$12.6 B,$16.1 B
712,#712,Uber,$14.1 B,$-8.5 B,$31.8 B,$52.3 B
713,#714,Kasikornbank,$8.9 B,$1.1 B,$106.1 B,$6.4 B
714,#715,DP World,$7.4 B,$1.2 B,$34.1 B,$13.3 B
715,#716,Geely Automobile Holdings,$14.1 B,$1.2 B,$15.5 B,$14.4 B
716,#717,Credicorp,$5.8 B,$1.3 B,$56.9 B,$11.9 B
717,#718,Isbank,$13.9 B,$985 M,$90.3 B,$3.2 B
718,#719,LG Chem,$24.6 B,$131 M,$30.5 B,$23.7 B
719,#720,Analog Devices,$5.8 B,$1.2 B,$21.4 B,$40.4 B
720,#720,Guangzhou R&F,$13.1 B,$1.4 B,$61.3 B,$4.4 B
721,#722,Eletrobrás,$7 B,$2.7 B,$44.1 B,$8.1 B
722,#723,Coles Group,$25.8 B,$824 M,$14.2 B,$13.5 B
723,#723,Hermès International,$7.7 B,$1.7 B,$11.1 B,$76.2 B
724,#725,Raiffeisen Bank International,$5.3 B,$8.8 B,$1.3 B,$170.8 B
725,#726,S&P Global,$6.9 B,$2.4 B,$10.5 B,$70.6 B
726,#727,Axis Bank,$11.3 B,$263 M,$122.7 B,$16.7 B
727,#728,Samsung Fire & Marine,$19.1 B,$551 M,$73 B,$6.6 B
728,#729,Carlsberg,$9.9 B,$985 M,$18.5 B,$18.1 B
729,#730,Mega Financial Holding,$3.3 B,$937 M,$122.9 B,$13.8 B
730,#731,China Reinsurance Group,$20.4 B,$878 M,$54.3 B,$5 B
731,#731,Grupa PZU,$10.7 B,$858 M,$90.2 B,$6.3 B
732,#731,Mapfre,$24.5 B,$591 M,$76.7 B,$5.6 B
733,#734,Keyence,$5.1 B,$1.8 B,$17 B,$87.9 B
734,#735,Raymond James Financial,$8.3 B,$959 M,$49.8 B,$9.2 B
735,#736,Hikvision,$8.1 B,$1.8 B,$10.3 B,$42.5 B
736,#737,Thomson Reuters,$5.9 B,$1.6 B,$17.3 B,$35 B
737,#738,VF,$12.3 B,$1.3 B,$10.8 B,$22.9 B
738,#739,Aptiv,$14.4 B,$990 M,$13.5 B,$17.8 B
739,#739,Conagra Brands,$10.4 B,$765 M,$22.2 B,$16.3 B
740,#741,T&D Holdings,$18.6 B,$572 M,$150.9 B,$5.3 B
741,#742,Canadian Pacific Railway,$6.1 B,$1.8 B,$16.5 B,$30.9 B
742,#742,Link REIT,$1.3 B,$2.3 B,$29.6 B,$18.5 B
743,#744,CenturyLink,$22.4 B,$-5.3 B,$64.7 B,$11.7 B
744,#745,Siam Commercial Bank,$6.8 B,$1.3 B,$95.6 B,$7.2 B
745,#746,O'Reilly Automotive,$10.2 B,$1.4 B,$11.1 B,$28.7 B
746,#747,CenterPoint Energy,$12.1 B,$791 M,$36.3 B,$8.6 B
747,#748,Wanhua Chemical Group,$9.6 B,$1.3 B,$15.2 B,$20 B
748,#749,Corteva,$16.7 B,$-1 B,$42.4 B,$19.6 B
749,#750,Vestas Wind Systems,$13.6 B,$788 M,$16.1 B,$16.8 B
750,#751,Guotai Junan Securities,$4.5 B,$1.2 B,$80.3 B,$12.8 B
751,#752,Shengjing Bank,$7.2 B,$791 M,$146.8 B,$8.1 B
752,#753,Huntington Bank,$5.4 B,$1.1 B,$113.9 B,$9.4 B
753,#754,Bâloise Group,$10.8 B,$699 M,$89.3 B,$6.8 B
754,#755,Fortum,$6.1 B,$1.7 B,$26.2 B,$14.7 B
755,#756,Vistra Energy,$11.5 B,$928 M,$26.6 B,$9.5 B
756,#757,Roper Technologies,$5.4 B,$1.6 B,$18.1 B,$35.6 B
757,#758,Otis Worldwide,$13.1 B,$1.1 B,$9.7 B,$22 B
758,#759,Arch Capital Group,$6.7 B,$1.6 B,$36.7 B,$9.8 B
759,#760,Shenzhen Overseas,$6.6 B,$1.7 B,$56.9 B,$7.6 B
760,#761,CapitaLand,$5 B,$1.6 B,$61.2 B,$10.8 B
761,#762,Rosseti,$15.9 B,$1.2 B,$43.5 B,$3.5 B
762,#763,Infineon Technologies,$8.9 B,$925 M,$16.4 B,$23.1 B
763,#764,Intuit,$7.1 B,$1.6 B,$6.7 B,$70.3 B
764,#765,Formosa Chemicals,$10.2 B,$961 M,$18.4 B,$14.9 B
765,#765,Kone,$11.1 B,$1 B,$8.8 B,$31.4 B
766,#767,Unum,$12 B,$1.1 B,$68.4 B,$3.5 B
767,#768,Wuliangye Yibin,$5.2 B,$2 B,$14.9 B,$74.7 B
768,#769,Publicis Groupe,$12.3 B,$941 M,$36.7 B,$7 B
769,#770,LG Electronics,$52.5 B,$411 M,$37.4 B,$8.1 B
770,#771,Cheniere Energy,$9.3 B,$648 M,$38.2 B,$11.8 B
771,#771,Huishang Bank,$7.9 B,$1.4 B,$162.6 B,$4.3 B
772,#773,Logan Property Holdings,$8.4 B,$1.6 B,$29.6 B,$8.7 B
773,#774,UPM-Kymmene,$10.9 B,$1.1 B,$16.4 B,$14.8 B
774,#775,PKN Orlen,$29 B,$1.2 B,$18.8 B,$6.4 B
775,#776,Abu Dhabi Commercial Bank,$5.4 B,$1.2 B,$110.3 B,$8.4 B
776,#777,Suncorp Group,$9.3 B,$712 M,$66.9 B,$7.6 B
777,#778,Zijin Mining Group,$20.3 B,$638 M,$19.7 B,$10.5 B
778,#779,ZTE,$13.1 B,$740 M,$20.3 B,$12 B
779,#780,Samba Financial Group,$2.8 B,$1.1 B,$68.1 B,$12.4 B
780,#781,Telia,$9.2 B,$688 M,$26.8 B,$13.7 B
781,#782,Kuehne & Nagel International,$21 B,$766 M,$9.8 B,$17.1 B
782,#783,CP All,$17.7 B,$688 M,$12.5 B,$19.7 B
783,#783,Teva Pharmaceutical,$17.4 B,$-1 B,$57.5 B,$12.1 B
784,#785,Voya Financial,$8.8 B,$814 M,$169.9 B,$5.7 B
785,#786,TDK,$12.6 B,$854 M,$18.9 B,$11.1 B
786,#787,DSM,$10.1 B,$848 M,$15.1 B,$21 B
787,#788,China Coal Energy,$18.7 B,$903 M,$39.1 B,$3.5 B
788,#789,George Weston,$37.8 B,$182 M,$36.9 B,$10.9 B
789,#790,Bank Of Hangzhou,$6.5 B,$917 M,$137.4 B,$7 B
790,#791,Absa Group,$9.7 B,$987 M,$100.1 B,$4.1 B
791,#792,Inner Mongolia Yili,$12.5 B,$833 M,$9.9 B,$24.5 B
792,#793,Secom,$9.7 B,$829 M,$16.6 B,$18.4 B
793,#794,Pioneer Natural Resources,$9.7 B,$751 M,$20.6 B,$14.7 B
794,#795,Hilton,$9.5 B,$881 M,$15 B,$21 B
795,#796,Alexion Pharmaceuticals,$5 B,$2.4 B,$17.5 B,$23.9 B
796,#797,Renault,$62.2 B,$-158 M,$137.1 B,$5.8 B
797,#798,Shin Kong Financial,$15.6 B,$536 M,$132.8 B,$3.7 B
798,#799,Garanti Bank,$9.9 B,$1.1 B,$72.9 B,$5 B
799,#799,Obayashi,$18.9 B,$1.2 B,$20.8 B,$6.4 B
800,#801,Kuwait Finance House,$4 B,$826 M,$63.9 B,$14.6 B
801,#802,Nan Ya Plastics,$9.3 B,$747 M,$18.5 B,$17.7 B
802,#803,Ball,$11.5 B,$566 M,$17.4 B,$21.4 B
803,#804,Deutsche Wohnen,$2.6 B,$1.7 B,$31.7 B,$14.5 B
804,#805,Shaanxi Coal Industry,$9.2 B,$1.6 B,$17.4 B,$10.4 B
805,#806,Meituan Dianping,$14.1 B,$313 M,$19 B,$77.9 B
806,#806,Restaurant Brands International,$5.6 B,$1.1 B,$22.4 B,$21.7 B
807,#808,Chunghwa Telecom,$6.6 B,$1.1 B,$15.9 B,$28.6 B
808,#809,HCL Technologies,$9.7 B,$1.5 B,$10.6 B,$19.6 B
809,#810,Ameren,$5.9 B,$828 M,$28.9 B,$18 B
810,#811,Schindler Holding,$11.3 B,$868 M,$10.9 B,$23.9 B
811,#812,Zoetis,$6.3 B,$1.5 B,$11.5 B,$61.4 B
812,#813,Oneok,$9.4 B,$800 M,$22 B,$12.4 B
813,#814,Saudi British Bank,$2.9 B,$803 M,$70.8 B,$13.5 B
814,#815,Chongqing Rural Bank,$7 B,$1.4 B,$147.9 B,$5 B
815,#816,Ryanair Holdings,$9.6 B,$1.2 B,$16.7 B,$12.4 B
816,#817,BOE Technology Group,$16.5 B,$207 M,$48.1 B,$12.3 B
817,#818,Idemitsu Kosan,$51.8 B,$409 M,$38 B,$6.8 B
818,#818,Toshiba,$32.2 B,$-1.4 B,$33.1 B,$11.4 B
819,#820,Power Finance,$7.5 B,$1.4 B,$91.5 B,$3.4 B
820,#821,Asr Nederland,$9.3 B,$1 B,$77.6 B,$3.8 B
821,#822,STMicroelectronics,$9.7 B,$1 B,$11.9 B,$23.1 B
822,#823,Assa Abloy,$9.9 B,$1 B,$12.8 B,$20 B
823,#824,QBE Insurance Group,$12.2 B,$567 M,$40.7 B,$8.1 B
824,#825,Equitable Holdings,$13.6 B,$-1.7 B,$249.9 B,$8.3 B
825,#826,Phoenix Group Holdings,$37.1 B,$79 M,$311.6 B,$5.5 B
826,#827,CDW,$18 B,$737 M,$8 B,$15.8 B
827,#828,Tata Steel,$21.1 B,$773 M,$34.4 B,$4.5 B
828,#829,Hormel Foods,$9.5 B,$980 M,$8.3 B,$25.2 B
829,#829,Toray Industries,$20.8 B,$589 M,$25.6 B,$7.5 B
830,#831,Rakuten,$11.6 B,$-292 M,$84.3 B,$11.6 B
831,#832,BYD,$17.6 B,$237 M,$28.2 B,$17.2 B
832,#833,Whirlpool,$20 B,$865 M,$19.4 B,$7 B
833,#834,CMS Energy,$6.7 B,$710 M,$27.4 B,$16.3 B
834,#835,Quanta Computer,$33.3 B,$516 M,$20.5 B,$8.4 B
835,#836,Koç Holding,$27 B,$773 M,$25.4 B,$5.6 B
836,#837,Banco de Sabadell,$7.6 B,$859 M,$251.2 B,$2.4 B
837,#837,Formosa Plastics,$6.7 B,$1.2 B,$16.6 B,$18.8 B
838,#839,Amphenol,$8.1 B,$1.1 B,$12.1 B,$26.1 B
839,#840,Seagate Technology,$10.4 B,$1.8 B,$8.8 B,$13 B
840,#841,OTP Bank,$5.1 B,$1.4 B,$61.7 B,$8.3 B
841,#842,Luxshare Precision Industry,$10 B,$729 M,$7.5 B,$35.9 B
842,#842,SVB Financial Group,$3.5 B,$984 M,$75 B,$9.9 B
843,#844,Uni-President,$14.5 B,$615 M,$15.9 B,$13.3 B
844,#845,Power Grid of India,$5 B,$1.4 B,$35.6 B,$11.3 B
845,#846,Bank Leumi,$4.9 B,$989 M,$135.8 B,$7.9 B
846,#847,DSV Panalpina,$15.2 B,$455 M,$14.7 B,$23.1 B
847,#848,Hershey,$8 B,$1.1 B,$8.9 B,$27.5 B
848,#849,Electronic Arts,$5.3 B,$2.8 B,$11.2 B,$33.1 B
849,#850,Akbank,$8.3 B,$1.2 B,$66.7 B,$4.4 B
850,#851,Hanwha,$43.2 B,$77 M,$157.6 B,$1.2 B
851,#852,American Financial Group,$7.9 B,$897 M,$70.3 B,$6 B
852,#853,Genuine Parts,$19.4 B,$621 M,$14.6 B,$11.5 B
853,#854,Trip.com Group,$5.2 B,$1 B,$28.7 B,$15.3 B
854,#855,Bangkok Bank,$5.8 B,$1.1 B,$103.5 B,$6.1 B
855,#856,Bancolombia,$7 B,$950 M,$71.9 B,$6.2 B
856,#856,United Rentals,$9.4 B,$1.2 B,$18.9 B,$9.3 B
857,#858,China Gas Holdings,$7.5 B,$1.1 B,$14.2 B,$19.3 B
858,#859,Global Payments,$4.9 B,$431 M,$44.5 B,$49.8 B
859,#860,Fortive,$7.3 B,$739 M,$17.4 B,$21.6 B
860,#861,Leonardo,$15.4 B,$919 M,$30.2 B,$4 B
861,#862,China Jinmao,$6.3 B,$937 M,$46.8 B,$8.2 B
862,#863,Equinix,$5.5 B,$508 M,$24 B,$58 B
863,#864,Old Mutual,$12.2 B,$636 M,$64.5 B,$3.4 B
864,#865,China Eastern Airlines,$17.5 B,$464 M,$40.4 B,$6.8 B
865,#866,Freeport-McMoRan,$13.5 B,$-769 M,$40.2 B,$12.8 B
866,#867,Jinke Property Group,$9.5 B,$828 M,$46.1 B,$6 B
867,#868,DaVita,$11.4 B,$811 M,$18.1 B,$9.6 B
868,#868,Sandvik,$10.6 B,$759 M,$12.5 B,$19.4 B
869,#870,MediaTek,$8 B,$745 M,$15.3 B,$22.1 B
870,#871,China Gezhouba,$15.7 B,$788 M,$33.7 B,$4.3 B
871,#872,RiseSun Real Estate Development,$10.1 B,$1.3 B,$35.9 B,$5 B
872,#873,Intact Financial,$8.7 B,$568 M,$23.7 B,$13.6 B
873,#874,Tohoku Electric Power,$20.7 B,$580 M,$40 B,$4.7 B
874,#875,New Hope Liuhe,$11.9 B,$730 M,$9.2 B,$19.3 B
875,#876,ASE Technology Holding,$13.7 B,$619 M,$18.9 B,$9.6 B
876,#877,Towngas,$5.2 B,$889 M,$18 B,$30.3 B
877,#878,Corning,$11.1 B,$365 M,$28.9 B,$16.7 B
878,#879,T Rowe Price,$5.8 B,$1.9 B,$8.6 B,$26.3 B
879,#880,Liberty Global,$11.5 B,$-795 M,$49 B,$12.3 B
880,#880,Snam,$2.9 B,$1.2 B,$26.7 B,$14.8 B
881,#882,Equity Residential,$2.7 B,$968 M,$21.2 B,$24.2 B
882,#883,Pembina Pipeline,$5.4 B,$1.1 B,$25.6 B,$12.6 B
883,#884,Baker Hughes Company,$23.6 B,$-10.1 B,$37.2 B,$9.1 B
884,#885,NRG Energy,$9.7 B,$4.1 B,$12.5 B,$8.4 B
885,#886,Sabanci Holding,$10.7 B,$665 M,$68.3 B,$2.4 B
886,#887,NortonLifeLock,$3.7 B,$3.7 B,$18.5 B,$12.8 B
887,#888,Shiseido,$10.4 B,$675 M,$11.2 B,$23.8 B
888,#889,St. James's Place,$21.1 B,$187 M,$155.3 B,$5.7 B
889,#890,Sanlam,$10.8 B,$495 M,$63.6 B,$6.7 B
890,#891,Vedanta Limited,$12.5 B,$1.2 B,$27 B,$4.4 B
891,#892,China National Nuclear Power,$6.5 B,$612 M,$49.8 B,$9.6 B
892,#892,Expedia Group,$12.1 B,$565 M,$21.4 B,$10 B
893,#894,Taisei,$15.9 B,$1.1 B,$16.6 B,$6.7 B
894,#895,TransDigm Group,$6.9 B,$726 M,$18.2 B,$19.5 B
895,#896,Everest Re Group,$8 B,$1 B,$27.3 B,$7.9 B
896,#897,Sumitomo Chemical,$20.7 B,$611 M,$33.8 B,$5.1 B
897,#898,Aisin Seiki,$34.8 B,$221 M,$37 B,$7.9 B
898,#898,IQVIA,$11.2 B,$215 M,$23.1 B,$27.2 B
899,#900,Pegatron,$44.2 B,$625 M,$19 B,$5.8 B
900,#901,E.Sun Financial,$2.6 B,$650 M,$83.3 B,$10.7 B
901,#902,Guangzhou Automobile Group,$8.6 B,$967 M,$19.7 B,$9.2 B
902,#903,CEZ Group,$9.2 B,$530 M,$31.1 B,$10 B
903,#904,Wipro,$8.6 B,$1.4 B,$10.8 B,$14.4 B
904,#905,Beiersdorf,$8.6 B,$804 M,$11.4 B,$23.7 B
905,#905,Guangzhou Rural Commercial Bank,$5.9 B,$1.1 B,$128.5 B,$4.6 B
906,#907,ITC,$5.5 B,$1.6 B,$10.1 B,$29.8 B
907,#908,CIFI Holdings Group,$7.9 B,$932 M,$46.3 B,$6 B
908,#909,China Southern Airlines,$22.3 B,$384 M,$44.1 B,$6.4 B
909,#910,Yanzhou Coal Mining,$9.8 B,$1.4 B,$30.3 B,$3.7 B
910,#911,Nedbank,$7.6 B,$852 M,$81.8 B,$2.8 B
911,#912,E-Trade Financial,$3.1 B,$846 M,$67.9 B,$9 B
912,#913,Motorola Solutions,$7.9 B,$869 M,$10.6 B,$24.7 B
913,#914,Daiwa Securities,$6.5 B,$573 M,$224.6 B,$6.4 B
914,#915,Vertex Pharmaceuticals,$4.8 B,$1.5 B,$8.9 B,$65.1 B
915,#916,Gallagher,$6.9 B,$681 M,$20.8 B,$14.9 B
916,#917,Moody's,$5 B,$1.5 B,$11.3 B,$45.7 B
917,#918,Western Digital,$16.1 B,$-595 M,$25.5 B,$13.8 B
918,#919,GF Securities,$4 B,$1.1 B,$56.6 B,$8.3 B
919,#920,Akzo Nobel,$10.2 B,$653 M,$14.6 B,$14.9 B
920,#920,Rolls-Royce Holdings,$21.2 B,$-1.7 B,$42.7 B,$8 B
921,#922,Alleghany,$8.4 B,$858 M,$27.1 B,$7.7 B
922,#923,WW Grainger,$11.7 B,$769 M,$7.2 B,$14.7 B
923,#924,BAIC Motor,$25.3 B,$575 M,$27.7 B,$3.5 B
924,#925,Shanghai International Port,$5.2 B,$1.3 B,$20.4 B,$13.7 B
925,#926,Stora Enso,$10.7 B,$889 M,$15.9 B,$9.3 B
926,#927,Fukuoka Financial Group,$2.5 B,$1.5 B,$235.4 B,$2.8 B
927,#928,Constellation Brands,$8.3 B,$-12 M,$27.3 B,$31.4 B
928,#929,SK Innovation,$42.8 B,$-31 M,$34.2 B,$7.1 B
929,#930,Tokyo Gas,$17.7 B,$399 M,$23.5 B,$9.7 B
930,#931,Kajima,$18.4 B,$891 M,$20.2 B,$5.4 B
931,#932,Air Canada,$14.5 B,$1.1 B,$21.4 B,$3.8 B
932,#932,Dubai Islamic Bank,$3.7 B,$1.2 B,$63.1 B,$7.2 B
933,#934,Banque Saudi Fransi,$2.5 B,$886 M,$47.5 B,$9.9 B
934,#935,Itaúsa,$1.3 B,$2.6 B,$16.8 B,$14 B
935,#936,Lonza Group,$6 B,$761 M,$14.3 B,$32.4 B
936,#937,BDO Unibank,$4.3 B,$840 M,$64.6 B,$8.8 B
937,#937,Joint Stock Commercial Bank for Foreign Trade of Vietnam,$3.7 B,$774 M,$48.5 B,$10.8 B
938,#939,Iliad,$6 B,$1.9 B,$20.4 B,$8.7 B
939,#940,First Financial Holding,$3.1 B,$627 M,$107 B,$9.2 B
940,#941,Banco BPM,$5.8 B,$888 M,$187.5 B,$1.8 B
941,#942,Shimizu,$16.1 B,$1.1 B,$16.9 B,$6 B
942,#943,Aena,$4.8 B,$1.5 B,$16.8 B,$19 B
943,#943,Agile Group Holdings,$8.7 B,$1.1 B,$39.2 B,$4.4 B
944,#943,Contemporary Amperex Technology,$6.4 B,$611 M,$14.3 B,$44.6 B
945,#943,Isuzu Motors,$19.1 B,$797 M,$19.6 B,$5.7 B
946,#943,Legrand,$7.4 B,$934 M,$13.3 B,$18 B
947,#948,Digital Realty Trust,$3.2 B,$580 M,$23.1 B,$38.8 B
948,#949,Mazda Motor,$32.1 B,$540 M,$26.4 B,$3.6 B
949,#950,Scor,$16.5 B,$472 M,$50.1 B,$5.2 B
950,#951,Japan Airlines,$13.6 B,$1.1 B,$17.9 B,$6.1 B
951,#952,Bajaj Finserv,$7 B,$570 M,$33.4 B,$10.8 B
952,#952,Cintas,$7.3 B,$950 M,$7.9 B,$23.1 B
953,#954,Intuitive Surgical,$4.6 B,$1.4 B,$9.9 B,$59.6 B
954,#955,Chugoku Electric Power,$12.4 B,$828 M,$30.2 B,$4.9 B
955,#956,Altice USA,$9.8 B,$163 M,$35 B,$15.5 B
956,#956,CGI Group,$9.8 B,$163 M,$35 B,$15.5 B
957,#958,PKO Bank Polski,$4.8 B,$1.1 B,$91.9 B,$6.6 B
958,#959,Grifols,$5.7 B,$700 M,$17.4 B,$23.3 B
959,#960,Sika,$8.2 B,$757 M,$10.4 B,$23.5 B
960,#961,Huaneng Power International,$24.9 B,$29 M,$61.5 B,$5.9 B
961,#962,Japan Exchange Group,$1.1 B,$438 M,$623.3 B,$10.1 B
962,#963,Suntory Beverage & Food,$11.9 B,$632 M,$14.4 B,$11.7 B
963,#964,Muyuan Foodstuff,$3.6 B,$1.5 B,$10 B,$39.1 B
964,#965,Hindalco Industries,$18.6 B,$786 M,$21.5 B,$3.9 B
965,#966,Sharp,$21.9 B,$583 M,$17.8 B,$6.8 B
966,#967,American Airlines Group,$43.7 B,$-740 M,$58.6 B,$5.1 B
967,#968,Amadeus IT Group,$6.2 B,$1.3 B,$11.7 B,$21.7 B
968,#969,Molina Healthcare,$16.8 B,$737 M,$6.8 B,$10 B
969,#970,Novolipetsk Steel,$10.1 B,$1.2 B,$9.7 B,$10.4 B
970,#971,Hoya,$5.3 B,$1.1 B,$7.5 B,$34.7 B
971,#972,Yara International,$12.9 B,$600 M,$16.7 B,$9.3 B
972,#973,Qatar Islamic Bank,$1.5 B,$784 M,$45.6 B,$10.1 B
973,#974,Galaxy Entertainment,$3.8 B,$1.7 B,$12.3 B,$28.2 B
974,#975,Welltower,$5.1 B,$484 M,$33.4 B,$21 B
975,#976,China Development Financial,$12.4 B,$414 M,$101 B,$4.4 B
976,#976,Helvetia Holding,$10.6 B,$543 M,$63.3 B,$4.5 B
977,#978,China Hongqiao Group,$12.2 B,$880 M,$25.8 B,$4.3 B
978,#979,Tokyu,$10.7 B,$524 M,$23.2 B,$9.2 B
979,#980,Adecco,$26.2 B,$812 M,$11.9 B,$7.1 B
980,#981,Emaar Properties,$7.1 B,$1.7 B,$31.8 B,$5.3 B
981,#981,KT,$20.9 B,$531 M,$29.5 B,$4.8 B
982,#983,Public Storage,$2.9 B,$1.5 B,$11.8 B,$32.4 B
983,#984,AvalonBay Communities,$2.3 B,$784 M,$19.1 B,$22.9 B
984,#985,IHS Markit,$4.4 B,$878 M,$16.4 B,$26.8 B
985,#986,Taiwan Cooperative Financial,$3.1 B,$558 M,$124.7 B,$8.8 B
986,#987,PG&E,$17.1 B,$-7.6 B,$94 B,$5.6 B
987,#988,Toppan Printing,$13.5 B,$966 M,$20.7 B,$5.2 B
988,#989,Mitsubishi UFJ Lease,$8.5 B,$692 M,$54.2 B,$4.3 B
989,#990,Yum! Brands,$5.6 B,$1.1 B,$6.1 B,$26 B
990,#991,Turkish Airlines,$13.2 B,$798 M,$24.7 B,$2.1 B
991,#992,Amcor,$11.1 B,$445 M,$16.8 B,$14.4 B
992,#992,Boston Properties,$3 B,$921 M,$21.8 B,$15.1 B
993,#994,Osaka Gas,$12.9 B,$580 M,$19.6 B,$7.8 B
994,#995,Financiere de l'Odet,$27.8 B,$137 M,$63.8 B,$2.7 B
995,#996,ENN Energy Holdings,$10.2 B,$824 M,$11.7 B,$12.7 B
996,#997,Leidos,$11.1 B,$667 M,$9.7 B,$14 B
997,#997,Vornado Realty,$5.3 B,$3.1 B,$18.3 B,$8.4 B
998,#999,China Merchants Securities,$3.5 B,$938 M,$54.8 B,$7.4 B
999,#1000,Macy's,$25.3 B,$564 M,$22.6 B,$1.8 B
1000,#1001,Alcon,$7.5 B,$-659 M,$27.7 B,$26 B
1001,#1002,EN+ Group International,$11.8 B,$860 M,$25 B,$4.6 B
1002,#1002,Thai Beverage,$8.7 B,$782 M,$13.8 B,$12.3 B
1003,#1004,Gecina,$1.1 B,$1.7 B,$23 B,$9.6 B
1004,#1004,VakifBank,$8.5 B,$593 M,$68.1 B,$1.6 B
1005,#1006,Edwards Lifesciences,$4.5 B,$1.1 B,$6.1 B,$44.9 B
1006,#1007,ATOS,$13 B,$525 M,$20.9 B,$7.7 B
1007,#1008,Skanska,$18.4 B,$664 M,$13.3 B,$7.9 B
1008,#1009,Shanghai Pharmaceuticals,$27 B,$592 M,$19.7 B,$5 B
1009,#1010,American Water Works,$3.6 B,$621 M,$22.7 B,$22 B
1010,#1010,Halliburton,$21.7 B,$-2.3 B,$23.6 B,$9.2 B
1011,#1012,China Life Insurance (Taiwan),$11.8 B,$440 M,$66.7 B,$3.1 B
1012,#1013,Arab National Bank,$2.3 B,$844 M,$48.9 B,$8.2 B
1013,#1014,Randstad N.V.,$26.5 B,$678 M,$11.4 B,$7.3 B
1014,#1015,KLA,$5.3 B,$1.1 B,$9.3 B,$25.7 B
1015,#1016,Zhongsheng Group Holdings,$17.9 B,$651 M,$9 B,$9.2 B
1016,#1017,Guosen Securities,$2.4 B,$639 M,$35.1 B,$12.4 B
1017,#1017,Twitter,$3.5 B,$1.3 B,$13.5 B,$22.5 B
1018,#1019,China Huarong Asset Management,$12.9 B,$216 M,$244.8 B,$4.4 B
1019,#1020,Dassault Systemes,$4.5 B,$689 M,$15.6 B,$37.8 B
1020,#1021,Polyus,$4 B,$1.9 B,$8.3 B,$21.8 B
1021,#1022,Bank Hapoalim,$4.8 B,$505 M,$134.2 B,$8.6 B
1022,#1022,Grupo Elektra,$6.2 B,$839 M,$18.4 B,$11.3 B
1023,#1024,Finatis,$42.7 B,$-173 M,$42.8 B,$160 M
1024,#1025,NXP Semiconductors,$8.8 B,$243 M,$19.5 B,$27.8 B
1025,#1026,Aroundtown,$2.4 B,$1.5 B,$28.6 B,$8.3 B
1026,#1026,China Mengniu Dairy,$11.4 B,$595 M,$11.3 B,$14 B
1027,#1028,Jiangsu Zhongnan Construction Group,$10.2 B,$603 M,$41.7 B,$4.3 B
1028,#1029,Evergy,$5.1 B,$670 M,$26 B,$13.2 B
1029,#1030,Givaudan,$6.2 B,$706 M,$10.7 B,$30.9 B
1030,#1030,JM Smucker,$7.6 B,$621 M,$16.6 B,$13.1 B
1031,#1032,iA Financial Corporation,$9.7 B,$534 M,$55.6 B,$3.5 B
1032,#1033,WR Berkley,$7.9 B,$497 M,$26.1 B,$10.1 B
1033,#1034,SMC,$4.9 B,$960 M,$13 B,$30.5 B
1034,#1035,ThyssenKrupp Group,$44.7 B,$-741 M,$40.4 B,$4.1 B
1035,#1036,AMP,$15.3 B,$-1.7 B,$103.8 B,$3.2 B
1036,#1037,Tata Motors,$40.5 B,$-150 M,$42.4 B,$4.5 B
1037,#1038,Illumina,$3.6 B,$942 M,$7.3 B,$46.8 B
1038,#1039,Advanced Micro Devices,$7.2 B,$487 M,$5.9 B,$61.4 B
1039,#1040,Microchip Technology,$5.3 B,$645 M,$17.6 B,$21 B
1040,#1041,Pan Pacific International Holdings,$15.4 B,$491 M,$12.2 B,$12.3 B
1041,#1042,Shanghai Construction,$28.3 B,$393 M,$32.8 B,$4.1 B
1042,#1043,China Resources Power,$8.6 B,$841 M,$27.7 B,$5.7 B
1043,#1044,MOL Hungarian Oil,$18.1 B,$768 M,$17.4 B,$4 B
1044,#1045,Clorox,$6.1 B,$816 M,$5.5 B,$23.3 B
1045,#1046,Krung Thai Bank,$5.2 B,$906 M,$96.3 B,$4.8 B
1046,#1047,Kerry Group,$8.1 B,$634 M,$10.7 B,$20.3 B
1047,#1048,BBMG,$12.5 B,$498 M,$40 B,$2.7 B
1048,#1049,Monster Beverage,$4.2 B,$1.1 B,$5.3 B,$32.5 B
1049,#1050,HAL Trust,$5.8 B,$745 M,$22.2 B,$10.7 B
1050,#1051,Severstal,$7.9 B,$1.4 B,$7 B,$10.1 B
1051,#1052,Genworth Financial,$8.5 B,$464 M,$101.3 B,$1.8 B
