,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
352,Mahindra & Mahindra,Consumer Discretionary,Auto & Truck Manufacturers,Asia,India,9.9,12.4,0.7,14.1,803,#1291,$14.5 B,$291 M,$23.5 B,$6.1 B
353,ITC,Consumer Staples,Tobacco,Asia,India,46.9,5.8,1.4,6.6,830,#907,$5.5 B,$1.6 B,$10.1 B,$29.8 B
354,Wipro,Information Technology,Computer Services,Asia,India,23.1,7.1,1.2,7.8,849,#904,$8.6 B,$1.4 B,$10.8 B,$14.4 B
355,GAIL India,Utilities,Natural Gas Utilities,Asia,India,8.0,9.3,0.8,12.2,955,#1257,$10.9 B,$936 M,$9.9 B,$5.8 B
356,Hindalco Industries,Materials,Aluminum,Asia,India,4.8,14.6,0.6,22.7,957,#965,$18.6 B,$786 M,$21.5 B,$3.9 B
357,Canara Bank,Financials,Major Banks,Asia,India,2.0,6.9,0.5,77.2,966,#1237,$8.3 B,$104 M,$103.2 B,$1.7 B
358,Bank of India,Financials,Regional Banks,Asia,India,2.4,6.6,0.5,84.0,976,#1349,$7.1 B,$109 M,$89.2 B,$1.5 B
359,Tata Steel,Materials,Iron & Steel,Asia,India,6.5,23.8,-1.3,27.2,983,#828,$21.1 B,$773 M,$34.4 B,$4.5 B
360,Power Grid of India,Utilities,Electric Utilities,Asia,India,9.5,2.4,0.8,22.0,1011,#845,$5 B,$1.4 B,$35.6 B,$11.3 B
361,Bharat Petroleum,Energy,Oil & Gas Operations,Asia,India,5.4,40.3,0.3,14.9,1045,#601,$42.6 B,$1.1 B,$20.5 B,$10.7 B
362,HCL Technologies,Information Technology,Software & Programming,Asia,India,16.6,4.7,0.7,4.2,1153,#809,$9.7 B,$1.5 B,$10.6 B,$19.6 B
363,Power Finance,Consumer Discretionary,Business & Personal Services,Asia,India,4.2,3.2,0.8,31.2,1226,#820,$7.5 B,$1.4 B,$91.5 B,$3.4 B
364,Union Bank of India,Financials,Regional Banks,Asia,India,1.4,5.2,0.4,57.6,1229,#1511,$5.9 B,$-531 M,$74.9 B,$1.2 B
365,Kotak Mahindra Bank,Financials,Regional Banks,Asia,India,9.9,2.9,0.4,18.3,1254,#522,$7.4 B,$1.2 B,$56.5 B,$34.6 B
366,IDBI Bank,Financials,Regional Banks,Asia,India,1.7,5.2,0.3,59.4,1290,#1948,$3.6 B,$-2.5 B,$41.9 B,$3 B
367,Sun Pharma Industries,Health Care,Pharmaceuticals,Asia,India,19.9,2.1,0.5,4.1,1293,#1483,$4.5 B,$568 M,$9.2 B,$14.9 B
368,Steel Authority of India,Materials,Iron & Steel,Asia,India,4.9,8.2,0.4,15.9,1328,#1789,$9.6 B,$336 M,$17.2 B,$1.8 B
369,Bajaj Auto,Consumer Discretionary,Recreational Products,Asia,India,10.0,3.6,0.6,2.4,1498,#1531,$4.3 B,$748 M,$4 B,$10.1 B
370,Central Bank of India,Financials,Regional Banks,Asia,India,1.1,4.3,0.2,49.5,1637,#1855,$3.6 B,$-803 M,$48.9 B,$1.2 B
371,Indian Bank,Financials,Regional Banks,Asia,India,0.9,2.8,0.3,30.0,1734,#1944,$3.4 B,$133 M,$42.1 B,$422 M
372,Grasim Industries,Materials,Construction Materials,Asia,India,4.4,5.1,0.5,7.4,1978,#1060,$11 B,$576 M,$34.7 B,$4.4 B
373,JSW Steel,Materials,Iron & Steel,Asia,India,4.1,7.0,0.2,12.1,1989,#1116,$11 B,$756 M,$17.7 B,$5.8 B
374,Bank Mandiri,Financials,Regional Banks,Asia,Indonesia,20.5,6.6,1.7,60.2,478,#495,$8.6 B,$1.9 B,$95 B,$14 B
375,Bank Central Asia,Financials,Regional Banks,Asia,Indonesia,23.9,4.0,1.4,40.8,661,#487,$6 B,$2 B,$66.2 B,$42.8 B
376,Bank Negara Indonesia,Financials,Regional Banks,Asia,Indonesia,8.5,3.4,0.9,31.8,965,#1053,$5.4 B,$1.1 B,$60.9 B,$5.1 B
377,Gudang Garam,Consumer Staples,Tobacco,Asia,Indonesia,8.7,5.3,0.4,4.2,1547,#1516,$7.9 B,$774 M,$4.7 B,$5.9 B
378,Eaton,Industrials,Other Industrial Equipment,Europe,Ireland,36.1,22.0,1.9,35.5,299,#339,$20.9 B,$2.1 B,$30.8 B,$34.4 B
379,Accenture,Information Technology,Computer Services,Europe,Ireland,52.7,30.6,2.9,16.4,339,#205,$44.7 B,$5 B,$33.5 B,$118 B
380,Seagate Technology,Information Technology,Computer Storage Devices,Europe,Ireland,18.7,14.0,1.6,8.9,682,#840,$10.4 B,$1.8 B,$8.8 B,$13 B
381,CRH,Materials,Construction Materials,Europe,Ireland,21.0,23.9,-0.4,28.2,708,#318,$28.1 B,$1.9 B,$41.9 B,$23.8 B
382,Bank of Ireland,Financials,Major Banks,Europe,Ireland,14.4,5.8,-0.6,182.1,891,#1118,$7.1 B,$432 M,$148 B,$2.2 B
383,Ryanair Holdings,Industrials,Airline,Europe,Ireland,14.7,6.7,0.7,11.4,936,#816,$9.6 B,$1.2 B,$16.7 B,$12.4 B
384,Experian,Consumer Discretionary,Business & Personal Services,Europe,Ireland,18.0,4.8,0.7,8.2,1154,#1156,$5 B,$727 M,$8.6 B,$27 B
385,Kerry Group,Consumer Staples,Food Processing,Europe,Ireland,13.5,7.7,0.1,7.2,1460,#1047,$8.1 B,$634 M,$10.7 B,$20.3 B
386,Smurfit Kappa Group,Materials,Paper & Paper Products,Europe,Ireland,5.8,10.6,0.2,11.3,1569,#1372,$10.1 B,$532 M,$11.6 B,$7.5 B
387,DCC,Industrials,Conglomerates,Europe,Ireland,4.7,16.7,0.2,5.0,1781,#1524,$19.3 B,$296 M,$9.4 B,$7 B
388,Bank Hapoalim,Financials,Major Banks,Asia,Israel,7.6,5.0,0.7,109.5,822,#1022,$4.8 B,$505 M,$134.2 B,$8.6 B
389,Bank Leumi,Financials,Major Banks,Asia,Israel,5.8,4.6,0.4,103.6,1143,#846,$4.9 B,$989 M,$135.8 B,$7.9 B
390,Delek Group,Financials,Investment Services,Asia,Israel,4.7,10.7,0.2,35.6,1273,#1964,$2.2 B,$90 M,$40.6 B,$525 M
391,Check Point Software,Information Technology,Software & Programming,Asia,Israel,13.1,1.4,0.7,4.9,1353,#1274,$2 B,$824 M,$5.6 B,$15.4 B
392,Mizrahi Tefahot Bank,Financials,Regional Banks,Asia,Israel,3.1,2.1,0.3,51.7,1546,#1320,$3 B,$517 M,$79.1 B,$4.9 B
393,Israel Discount Bank,Financials,Regional Banks,Asia,Israel,2.0,2.7,0.2,57.8,1660,#1386,$3.5 B,$478 M,$75.2 B,$3.8 B
394,FIBI Holdings,Financials,Regional Banks,Asia,Israel,0.7,1.4,0.1,30.4,1904,#1960,$1.4 B,$117 M,$40.9 B,$1.1 B
395,Eni,Energy,Oil & Gas Operations,Europe,Italy,90.9,152.7,6.9,186.6,39,#468,$72.5 B,$-4.3 B,$131.7 B,$34.1 B
396,Enel,Utilities,Electric Utilities,Europe,Italy,53.2,106.3,4.3,226.2,71,#97,$86.6 B,$2.4 B,$192.4 B,$69.4 B
397,Generali Group,Financials,Diversified Insurance,Europe,Italy,34.5,100.5,2.5,602.8,114,#140,$91.9 B,$3 B,$578.6 B,$22.5 B
398,EXOR,Financials,Investment Services,Europe,Italy,10.1,143.7,2.4,170.7,256,#558,$160.9 B,$-801 M,$193.8 B,$12.7 B
399,Intesa Sanpaolo,Financials,Major Banks,Europe,Italy,57.4,24.5,-6.0,863.0,453,#125,$41.3 B,$4.7 B,$916.1 B,$27.3 B
400,Telecom Italia,Telecommunication Services,Telecommunications services,Europe,Italy,22.8,31.1,-0.9,96.8,574,#546,$20.1 B,$1 B,$78.7 B,$8.3 B
401,Atlantia,Industrials,Other Transportation,Europe,Italy,21.6,4.8,0.8,40.7,676,#520,$10.4 B,$1.2 B,$91.1 B,$13.3 B
402,UBI Banca,Financials,Regional Banks,Europe,Italy,8.9,6.8,0.3,171.2,853,#1493,$5.3 B,$281 M,$142 B,$3.2 B
403,Unipol Gruppo,Financials,Diversified Insurance,Europe,Italy,5.6,26.3,-0.1,111.2,874,#683,$17.6 B,$1 B,$84.3 B,$2.5 B
404,Terna,Utilities,Electric Utilities,Europe,Italy,10.9,2.5,0.7,20.2,1025,#1080,$2.6 B,$848 M,$20.3 B,$12.6 B
405,Mediobanca,Financials,Regional Banks,Europe,Italy,9.8,4.4,0.0,103.7,1127,#1075,$3.4 B,$940 M,$92.6 B,$5 B
406,Banca MPS,Financials,Major Banks,Europe,Italy,4.5,6.7,-1.9,274.4,1207,#1569,$4.7 B,$-1.1 B,$148.5 B,$1.3 B
407,Cattolica Assicurazioni,Financials,Diversified Insurance,Europe,Italy,1.5,6.0,0.1,24.5,1616,#1474,$8.3 B,$84 M,$41.2 B,$922 M
408,Banca Popolare di Sondrio,Financials,Regional Banks,Europe,Italy,2.2,2.1,0.1,45.2,1733,#1895,$1.2 B,$154 M,$46.2 B,$713 M
409,Credito Emiliano,Financials,Regional Banks,Europe,Italy,3.4,2.0,0.2,43.4,1755,#1813,$2.1 B,$225 M,$53.5 B,$1.5 B
410,Prysmian,Industrials,Electrical Equipment,Europe,Italy,5.4,9.7,0.2,7.9,1988,#1963,$12.9 B,$327 M,$11.8 B,$5 B
411,Toyota Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,193.5,255.6,18.8,385.5,12,#11,$280.5 B,$22.7 B,$495.1 B,$173.3 B
412,Mitsubishi UFJ Financial,Financials,Major Banks,Asia,Japan,77.7,48.6,11.3,2458.9,37,#52,$60.1 B,$5.4 B,"$2,893 B",$51.8 B
413,Sumitomo Mitsui Financial,Financials,Major Banks,Asia,Japan,58.6,46.2,9.7,1494.7,56,#81,$48.4 B,$6.4 B,"$1,954.8 B",$36.4 B
414,Nippon Telegraph & Tel,Telecommunication Services,Telecommunications services,Asia,Japan,61.0,110.7,5.7,189.3,61,#43,$109.6 B,$7.9 B,$211.1 B,$83 B
415,Honda Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,63.0,117.7,4.9,147.9,70,#83,$142.4 B,$4.3 B,$188.5 B,$42.6 B
416,Softbank,Telecommunication Services,Telecommunications services,Asia,Japan,91.2,55.6,5.8,156.6,73,#66,$87.4 B,$2.9 B,$362.6 B,$89.7 B
417,Mizuho Financial,Financials,Major Banks,Asia,Japan,48.7,28.5,7.5,1791.6,101,#242,$35.9 B,$831 M,"$1,874.9 B",$29.8 B
418,Nissan Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,40.2,104.0,3.9,137.2,111,#512,$96.3 B,$383 M,$166.4 B,$13.5 B
419,Hitachi,Information Technology,Electronics,Asia,Japan,36.2,95.7,2.6,104.7,138,#198,$82.9 B,$1.8 B,$94.6 B,$29.3 B
420,KDDI,Telecommunication Services,Telecommunications services,Asia,Japan,46.9,42.3,3.4,46.1,178,#122,$47.8 B,$5.9 B,$86.5 B,$66.9 B
421,Tokio Marine Holdings,Financials,Property & Casualty Insurance,Asia,Japan,23.0,42.7,2.0,181.2,189,#151,$48.5 B,$2.6 B,$224.5 B,$33 B
422,Denso,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,42.4,41.3,2.8,41.3,202,#394,$47.4 B,$626 M,$52.4 B,$27.6 B
423,Japan Tobacco,Consumer Staples,Tobacco,Asia,Japan,56.9,23.5,4.5,41.8,209,#283,$20 B,$3.2 B,$51.1 B,$33.4 B
424,Itochu,Industrials,Trading Companies,Asia,Japan,18.4,55.0,3.2,76.8,211,#135,$103.1 B,$4.9 B,$104.6 B,$29.6 B
425,Seven & I Holdings,Consumer Staples,Food Retail,Asia,Japan,33.4,57.3,1.8,46.4,220,#234,$61 B,$2 B,$55.6 B,$29.3 B
426,Canon,Industrials,Business Products & Supplies,Asia,Japan,40.8,38.2,2.4,40.4,221,#359,$33 B,$1.1 B,$43.9 B,$22.7 B
427,Sony,Consumer Discretionary,Consumer Electronics,Asia,Japan,20.1,78.2,1.1,148.9,233,#58,$79.2 B,$6 B,$208.3 B,$78.7 B
428,East Japan Railway,Industrials,Railroads,Asia,Japan,28.7,27.7,1.9,68.8,237,#261,$27.1 B,$1.8 B,$79.1 B,$27.8 B
429,Panasonic,Consumer Discretionary,Consumer Electronics,Asia,Japan,28.4,77.3,1.2,52.1,246,#256,$70.4 B,$2.6 B,$61.8 B,$18 B
430,MS&AD Insurance,Financials,Property & Casualty Insurance,Asia,Japan,14.3,45.8,1.5,160.8,266,#215,$50.6 B,$2.6 B,$220.1 B,$16.7 B
431,Bridgestone,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,27.7,36.5,2.1,34.0,285,#327,$32.3 B,$2.7 B,$36.3 B,$20.7 B
432,Dai-ichi Life Insurance,Financials,Life & Health Insurance,Asia,Japan,14.5,58.1,0.8,356.3,301,#230,$62.6 B,$1.8 B,$560.8 B,$14.4 B
433,Marubeni,Industrials,Trading Companies,Asia,Japan,11.5,66.0,2.2,68.4,302,#442,$63.6 B,$1.4 B,$62.7 B,$8.5 B
434,Central Japan Railway,Industrials,Railroads,Asia,Japan,22.8,16.7,2.6,50.6,308,#247,$17 B,$3.7 B,$89 B,$31.2 B
435,Mitsubishi Heavy Industries,Industrials,Heavy Equipment,Asia,Japan,19.4,31.8,1.3,41.9,337,#481,$37 B,$1.5 B,$51 B,$8.7 B
436,Mitsubishi Electric,Industrials,Electrical Equipment,Asia,Japan,24.7,38.8,1.2,32.5,339,#294,$41.3 B,$2.1 B,$40.9 B,$26.9 B
437,Takeda Pharmaceutical,Health Care,Pharmaceuticals,Asia,Japan,37.0,17.0,1.1,42.1,348,#490,$29.7 B,$-498 M,$119.9 B,$56.6 B
438,Sumitomo Mitsui Trust,Financials,Major Banks,Asia,Japan,17.7,11.2,1.4,400.6,353,#383,$13.8 B,$1.8 B,$509.3 B,$11.1 B
439,Toshiba,Information Technology,Electronics,Asia,Japan,17.9,65.0,0.6,61.6,369,#818,$32.2 B,$-1.4 B,$33.1 B,$11.4 B
440,Orix,Financials,Consumer Financial Services,Asia,Japan,18.4,12.0,1.4,82.5,388,#292,$21.3 B,$3 B,$118.2 B,$15.4 B
441,Komatsu,Industrials,Heavy Equipment,Asia,Japan,19.7,19.7,1.5,25.9,410,#405,$23.2 B,$1.9 B,$34.3 B,$18.2 B
442,Inpex,Energy,Oil & Gas Operations,Asia,Japan,19.1,13.6,1.6,37.7,411,#597,$12.2 B,$1.5 B,$44.6 B,$9.4 B
443,Mitsui Fudosan,Financials,Real Estate,Asia,Japan,26.8,15.3,0.8,43.0,417,#367,$17.5 B,$1.5 B,$67.2 B,$18.2 B
444,Suzuki Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,14.6,29.0,1.2,26.4,436,#480,$33.6 B,$1.1 B,$31.7 B,$15.7 B
445,JFE Holdings,Materials,Iron & Steel,Asia,Japan,10.9,36.1,1.0,40.1,441,#642,$34.9 B,$1.5 B,$45.4 B,$3.9 B
446,Resona Holdings,Financials,Regional Banks,Asia,Japan,10.9,7.9,2.2,420.3,444,#654,$7.6 B,$1.3 B,$549.5 B,$7.2 B
447,Toyota Industries,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,14.8,20.0,0.9,38.1,445,#429,$20 B,$1.3 B,$48.9 B,$15.8 B
448,Daiwa Securities,Financials,Investment Services,Asia,Japan,14.9,6.8,1.9,199.3,446,#914,$6.5 B,$573 M,$224.6 B,$6.4 B
449,Tokyo Electric Power,Utilities,Electric Utilities,Asia,Japan,6.3,66.0,0.9,145.6,460,#427,$58.9 B,$5.2 B,$110.8 B,$5.4 B
450,Mitsubishi Estate,Financials,Real Estate,Asia,Japan,32.8,10.2,0.7,45.1,468,#483,$11.2 B,$1.1 B,$55.2 B,$22.3 B
451,T&D Holdings,Financials,Life & Health Insurance,Asia,Japan,8.0,21.6,0.9,134.3,473,#741,$18.6 B,$572 M,$150.9 B,$5.3 B
452,Aeon,Consumer Discretionary,Discount Stores,Asia,Japan,9.3,64.4,0.6,67.3,476,#555,$78.9 B,$246 M,$102.6 B,$17.1 B
453,Fujifilm Holdings,Consumer Discretionary,Consumer Electronics,Asia,Japan,13.0,24.4,0.9,30.8,483,#449,$21.7 B,$1.4 B,$31.8 B,$19.7 B
454,Kirin Holdings,Consumer Staples,Beverages,Asia,Japan,12.6,23.1,0.9,27.6,509,#706,$17.8 B,$547 M,$22.2 B,$16.9 B
455,Toyota Tsusho,Industrials,Trading Companies,Asia,Japan,8.9,74.8,0.7,37.7,516,#508,$61.6 B,$1.2 B,$42.1 B,$8.5 B
456,Otsuka Holding,Health Care,Pharmaceuticals,Asia,Japan,16.1,14.4,1.8,17.9,527,#580,$12.8 B,$1.2 B,$23.8 B,$21.6 B
457,Kyocera,Information Technology,Electronics,Asia,Japan,16.2,14.6,0.9,25.7,531,#549,$14.7 B,$991 M,$30.1 B,$19.6 B
458,Shin-Etsu Chemical,Materials,Diversified Chemicals,Asia,Japan,24.2,11.4,1.2,19.9,537,#355,$14.2 B,$2.9 B,$29.9 B,$46.7 B
459,Kubota,Industrials,Heavy Equipment,Asia,Japan,16.6,14.6,1.2,19.9,539,#529,$17.6 B,$1.4 B,$28.9 B,$15.4 B
460,Aisin Seiki,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,10.2,28.1,1.0,24.0,545,#898,$34.8 B,$221 M,$37 B,$7.9 B
461,Daikin Industries,Materials,Construction Materials,Asia,Japan,16.7,17.3,1.0,19.3,545,#375,$23.5 B,$1.7 B,$26.1 B,$38.3 B
462,Mazda Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,13.4,26.7,0.9,19.7,550,#949,$32.1 B,$540 M,$26.4 B,$3.6 B
463,Daiwa House Industry,Industrials,Construction Services,Asia,Japan,11.1,25.4,0.8,24.7,562,#324,$40 B,$2.3 B,$42.7 B,$17.1 B
464,Tokyo Gas,Utilities,Natural Gas Utilities,Asia,Japan,12.5,20.6,1.0,19.6,577,#930,$17.7 B,$399 M,$23.5 B,$9.7 B
465,Sumitomo Electric,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,12.0,25.2,0.6,24.2,584,#674,$28.9 B,$812 M,$29 B,$8.1 B
466,Sumitomo Realty,Financials,Real Estate,Asia,Japan,18.6,8.3,0.7,39.2,588,#591,$9.3 B,$1.3 B,$47.8 B,$12.9 B
467,Astellas Pharma,Health Care,Pharmaceuticals,Asia,Japan,26.1,11.7,0.8,14.9,615,#547,$11.8 B,$2 B,$18.3 B,$30.7 B
468,Mitsubishi Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,10.3,21.0,1.1,14.3,636,#1172,$21.9 B,$477 M,$17.7 B,$4.2 B
469,Asahi Kasei,Materials,Diversified Chemicals,Asia,Japan,9.4,19.0,0.9,18.6,646,#634,$19.9 B,$1.2 B,$24.9 B,$9.9 B
470,Fast Retailing,Consumer Discretionary,Apparel/Footwear Retail,Asia,Japan,36.4,12.6,1.0,10.0,647,#428,$20.5 B,$1.4 B,$22.8 B,$49.2 B
471,Asahi Group Holdings,Consumer Staples,Beverages,Asia,Japan,12.8,17.6,0.6,17.0,663,#519,$19.2 B,$1.3 B,$28.9 B,$16 B
472,Isuzu Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,9.7,18.0,1.2,13.5,670,#943,$19.1 B,$797 M,$19.6 B,$5.7 B
473,Ricoh,Industrials,Business Products & Supplies,Asia,Japan,8.4,22.0,0.6,24.4,674,#1191,$18.5 B,$370 M,$26.4 B,$5 B
474,Toray Industries,Materials,Diversified Chemicals,Asia,Japan,10.8,18.1,0.6,18.4,679,#829,$20.8 B,$589 M,$25.6 B,$7.5 B
475,Sekisui House,Industrials,Construction Services,Asia,Japan,8.6,18.3,0.8,17.3,706,#582,$22.1 B,$1.3 B,$24.3 B,$11.8 B
476,Daiichi Sankyo,Health Care,Pharmaceuticals,Asia,Japan,11.6,10.9,0.9,17.3,707,#614,$9 B,$1.2 B,$19.5 B,$44.7 B
477,Idemitsu Kosan,Energy,Oil & Gas Operations,Asia,Japan,3.2,49.9,0.8,29.1,708,#818,$51.8 B,$409 M,$38 B,$6.8 B
478,Kansai Electric Power,Utilities,Electric Utilities,Asia,Japan,9.3,32.5,-1.3,72.0,716,#447,$30.1 B,$1.5 B,$68.6 B,$9.2 B
479,Fujitsu,Information Technology,Computer Hardware,Asia,Japan,12.6,47.3,0.2,30.5,728,#422,$35.7 B,$1.4 B,$28.7 B,$20 B
480,Dentsu,Consumer Discretionary,Advertising,Asia,Japan,10.8,22.4,0.4,22.2,730,#1340,$9.6 B,$-742 M,$34.9 B,$5.9 B
481,Mitsubishi Chemical,Materials,Diversified Chemicals,Asia,Japan,6.0,33.4,0.5,33.4,736,#599,$34.1 B,$732 M,$49.8 B,$8.2 B
482,Japan Airlines,Industrials,Airline,Asia,Japan,9.0,13.2,1.6,12.4,738,#951,$13.6 B,$1.1 B,$17.9 B,$6.1 B
483,West Japan Railway,Industrials,Railroads,Asia,Japan,7.8,13.5,0.6,24.8,749,#663,$13.9 B,$822 M,$30.3 B,$11.9 B
484,Murata Manufacturing,Information Technology,Electronics,Asia,Japan,21.3,8.4,0.9,11.6,776,#498,$14 B,$1.7 B,$20.6 B,$36 B
485,Chubu Electric Power,Utilities,Electric Utilities,Asia,Japan,8.8,28.1,-0.6,54.9,779,#455,$28.6 B,$1.6 B,$49.8 B,$10.3 B
486,Lixil Group,Materials,Construction Materials,Asia,Japan,8.5,15.8,0.5,16.2,839,#1429,$17 B,$-217 M,$20.3 B,$3.5 B
487,Rakuten,Consumer Discretionary,Internet & Catalog Retail,Asia,Japan,17.6,5.3,0.4,30.5,854,#831,$11.6 B,$-292 M,$84.3 B,$11.6 B
488,Fanuc,Industrials,Other Industrial Equipment,Asia,Japan,34.4,4.5,1.0,12.3,855,#1087,$4.7 B,$675 M,$14 B,$32 B
489,Tokyu,Industrials,Railroads,Asia,Japan,7.7,11.2,0.6,19.0,859,#979,$10.7 B,$524 M,$23.2 B,$9.2 B
490,Secom,Industrials,Security Systems,Asia,Japan,13.2,8.3,0.7,12.1,879,#793,$9.7 B,$829 M,$16.6 B,$18.4 B
491,Kobe Steel,Materials,Iron & Steel,Asia,Japan,4.8,18.1,0.6,21.2,913,#1366,$17.5 B,$-17 M,$22.2 B,$1.2 B
492,NEC,Information Technology,Electronics,Asia,Japan,8.0,30.6,0.0,24.2,920,#643,$28 B,$762 M,$28 B,$10.1 B
493,Nippon Yusen,Industrials,Other Transportation,Asia,Japan,4.9,22.0,0.5,25.1,926,#1496,$15.6 B,$-156 M,$18.8 B,$2.3 B
494,Sumitomo Metal Mining,Materials,Diversified Metals & Mining,Asia,Japan,6.8,8.5,0.9,14.4,949,#1437,$7.8 B,$471 M,$16.1 B,$7 B
495,Hankyu Hanshin Holdings,Industrials,Railroads,Asia,Japan,6.8,7.1,0.5,21.6,1008,#1099,$7.3 B,$602 M,$22.9 B,$8.4 B
496,Kyushu Electric Power,Utilities,Electric Utilities,Asia,Japan,5.5,17.6,-1.6,42.4,1024,#1121,$18.5 B,$-4 M,$45.8 B,$3.8 B
497,Sumitomo Chemical,Materials,Diversified Chemicals,Asia,Japan,6.0,21.9,0.1,26.9,1035,#897,$20.7 B,$611 M,$33.8 B,$5.1 B
498,IHI,Industrials,Heavy Equipment,Asia,Japan,6.2,12.9,0.5,14.2,1047,#1710,$12.5 B,$36 M,$15.7 B,$1.9 B
499,All Nippon Airways,Industrials,Airline,Asia,Japan,7.6,16.0,0.2,20.5,1052,#1137,$18.2 B,$254 M,$23.7 B,$7.2 B
500,Mitsubishi Materials,Materials,Diversified Metals & Mining,Asia,Japan,3.7,14.1,0.5,17.2,1070,#1556,$13.9 B,$-13 M,$18.3 B,$2.7 B
501,Tohoku Electric Power,Utilities,Electric Utilities,Asia,Japan,4.9,19.9,-0.4,39.5,1075,#874,$20.7 B,$580 M,$40 B,$4.7 B
502,Shizuoka Bank,Financials,Regional Banks,Asia,Japan,6.1,2.2,0.5,103.3,1080,#1471,$2.1 B,$384 M,$117.5 B,$3.5 B
503,Suntory Beverage & Food,,,Asia,Japan,10.5,11.5,0.3,12.0,1083,#963,$11.9 B,$632 M,$14.4 B,$11.7 B
504,Daito Trust Construction,Industrials,Construction Services,Asia,Japan,7.2,12.8,0.7,5.5,1085,#1225,$14.3 B,$714 M,$7.2 B,$6 B
505,Yamato Holdings,Industrials,Trucking,Asia,Japan,9.8,13.8,0.3,10.1,1093,#1603,$14.9 B,$128 M,$10.7 B,$7 B
506,Kawasaki Heavy Industries,Industrials,Heavy Equipment,Asia,Japan,6.3,13.6,0.4,15.9,1095,#1510,$15 B,$191 M,$18.9 B,$2.6 B
507,Keyence,Information Technology,Electronics,Asia,Japan,25.5,2.6,0.8,7.8,1111,#734,$5.1 B,$1.8 B,$17 B,$87.9 B
508,Sharp,Consumer Discretionary,Consumer Electronics,Asia,Japan,5.1,29.2,-1.1,22.9,1115,#966,$21.9 B,$583 M,$17.8 B,$6.8 B
509,Osaka Gas,Utilities,Natural Gas Utilities,Asia,Japan,7.8,14.9,0.2,16.0,1129,#994,$12.9 B,$580 M,$19.6 B,$7.8 B
510,Kintetsu,Industrials,Railroads,Asia,Japan,6.7,11.9,0.3,18.7,1151,#1275,$11.3 B,$307 M,$17.9 B,$9.2 B
511,Dai Nippon Printing,Consumer Discretionary,Printing & Publishing,Asia,Japan,6.1,14.7,0.3,14.7,1160,#1533,$12.9 B,$238 M,$16.4 B,$6.2 B
512,Mitsubishi UFJ Lease,Financials,Rental & Leasing,Asia,Japan,4.3,7.2,0.4,41.3,1163,#989,$8.5 B,$692 M,$54.2 B,$4.3 B
513,Chiba Bank,Financials,Major Banks,Asia,Japan,5.2,2.2,0.5,112.3,1167,#1305,$2 B,$459 M,$144.4 B,$3.4 B
514,Sojitz,Industrials,Trading Companies,Asia,Japan,2.1,24.3,0.2,21.2,1182,#1107,$16.1 B,$559 M,$20.7 B,$2.9 B
515,Nidec,Industrials,Electrical Equipment,Asia,Japan,18.0,8.5,0.2,10.8,1187,#680,$14.1 B,$550 M,$19.6 B,$34.4 B
516,Yamaha Motor,Consumer Discretionary,Recreational Products,Asia,Japan,5.4,14.4,0.5,10.9,1201,#1198,$15.3 B,$695 M,$14.1 B,$4.6 B
517,Nintendo,Consumer Discretionary,Consumer Electronics,Asia,Japan,16.6,6.1,0.0,15.1,1207,#534,$11.2 B,$2 B,$17.5 B,$49.7 B
518,Oriental Land,Consumer Discretionary,Hotels & Motels,Asia,Japan,13.7,4.7,0.7,6.4,1224,#1204,$4.3 B,$572 M,$9.4 B,$41.9 B
519,Ajinomoto,Consumer Staples,Food Processing,Asia,Japan,8.9,10.5,0.3,10.6,1231,#1505,$10.2 B,$284 M,$12.9 B,$9.8 B
520,Oji Holdings,Materials,Paper & Paper Products,Asia,Japan,4.6,13.3,0.3,18.3,1232,#1207,$13.9 B,$555 M,$17.8 B,$5.1 B
521,Mitsui OSK Lines,Industrials,Other Transportation,Asia,Japan,4.7,17.1,-0.9,21.7,1251,#1652,$10.6 B,$300 M,$19.4 B,$2.1 B
522,Chugoku Electric Power,Utilities,Electric Utilities,Asia,Japan,4.9,12.5,-0.2,27.3,1266,#955,$12.4 B,$828 M,$30.2 B,$4.9 B
523,Shinsei Bank,Financials,Regional Banks,Asia,Japan,5.1,3.5,0.4,87.1,1267,#1299,$2.8 B,$512 M,$93.1 B,$2.9 B
524,Eisai,Health Care,Pharmaceuticals,Asia,Japan,10.8,6.0,0.4,9.3,1275,#1061,$6.1 B,$887 M,$9.7 B,$20.2 B
